messages;fake
В России нельзя будет воспользоваться услугами международных аудиторов, консалтинговых компаний, приобрести продукцию известных брендов – все они уходят из России. ;1
 Российский танк ударил по группе военнослужащих, в некоторых источниках указывается – что по своим же. Такое видео расходится в сети. ;1
Весенний призыв в этом году проходит в ускоренном режиме, поэтому необходимо самостоятельно явиться в военкомат. Об этом россиянам сообщает телефонный бот. ;1
МИД РФ разместил в твиттере цитату Сергея Лаврова о необходимости денацификации на территории России.;1
Беженцы из Мариуполя в Пензенской области живут без предметов первой необходимости и минимальных удобств. С таким заявлением выступила украинский омбудсмен Людмила Денисова.;1
На Украине нет нацизма. Этот тезис постоянно продвигают украинские СМИ.;1
Российские солдаты разграбили квартиры в Ирпене, видео с кадрами мародерства появилось в украинских телеграм-каналах.;1
В России задержан солдат-педофил, который издевался над украинским младенцем. Такие сообщения распространяют украинские телеграм-каналы. ;1
Корпорация Google не занимается разжиганием ненависти к русским и предоставляет пользователям возможность получения объективной информации.;1
Из-за нехватки бумаги в этом году отменят проведение единого государственного экзамена. Такую информацию распространяют СМИ и телеграм-каналы. ;1
Российские военные устроили химическую атаку, взорвав цистерну с химикатами в Рубежном. Об этом сообщил Глава Луганской областной военной администрации Сергей Гайдай.;1
На автомобилях (в том числе легковых), зарегистрированных в России и Белоруссии, больше нельзя будет попасть в страны Евросоюза;1
Председатель Счетной палаты РФ Алексей Кудрин эмигрировал в Израиль. Такие сообщения распространяют телеграм-каналы.;1
Супруга президента Украины Елена Зеленская обвинила Россию в ударе по драмтеатру в Мариуполе.;1
Европейские политики и мировое сообщество единогласно осудили Россию после случившегося в Буче. Такие сообщения появляются в СМИ;1
Уровень радиации в районе Чернобыльской АЭС, где раньше стояли российские войска, превышен в 50 раз. Такие сообщения появляются в украинских и зарубежных СМИ;1
Российский валютный рынок потерян навсегда, про наличные доллары и евро можно забыть. Такая информация распространялась в соцсетях в начале марта.;1
Российские войска нанесли удар ракетой «Искандер» по вокзалу в Краматорске. Рассказываем (https://t.me/warfakes/2051), как ВСУ выдали свою ошибку с выстрелом «Точкой У» по Краматорску за российский арт-обстрел.;1
После провала с версией об «Искандере» и обстреле Краматорска украинские источники попытались сделать еще один вброс. Следующая версия предлагает доказательства обстрела вокзала российским комплексом «Точка У», но и она рассыпается при рассмотрении.;1
Спутниковые снимки компании MAXAR подтвердили, что тела мирных жителей на улицах Бучи лежали с 11 марта. Оказалось (https://t.me/warfakes/2061), что облетевшие весь мир снимки NYT скорее всего сделаны 31 марта, а дата в исходной публикации подделана. Разобрали тему, в том числе, с привлечением судмедэксперта.;1
Украинские телеграм-каналы показали секретные документы со списком вооружения ВС РФ. Утверждают, что достали его из разбитой военной техники;1
Россияне останутся без сотовой связи и интернета из-за износа телеком-оборудования.;1
После удара по Краматорску СК РФ возбудил (https://t.me/minut30/565) уголовное дело против командира 19-й отдельной ракетной бригады ВСУ и других лиц, которые виновны в обстреле ж/д вокзала.;1
Тела мирных жителей на улицах Бучи лежали с 11 марта. Это, якобы, подтверждают спутниковые снимки, предоставленные компанией MAXAR.;1
Найдены доказательства, что удар по железнодорожному вокзалу в Краматорске был осуществлен российскими комплексами «Точка У». Об этом пишут украинские тг-каналы.;1
Российские войска нанесли удар ракетой «Искандер» по вокзалу в Краматорске. Об этом сообщают украинские телеграм-каналы;1
В Крыму призывников принудительно доставляют в пункты сбора без вручения повесток, заявила украинский омбудсмен Людмила Денисова.;1
 Зеленский находится в Киеве - команда президента Украины попыталась доказать это с помощью очередного видеоролика;1
Из разбитой военной техники ВС РФ были добыты секретные документы со списком вооружения  российской армии. Документ распространяется в украинских телеграм-каналах.;1
Гражданских в Буче убили в период нахождения в городе российских войск. Об этом пишет «Медуза» (иностранный агент).;1
«Лукойл» закрывает все заводы в России из-за наложенных санкций. Нефтеперерабатывающим заводам не хватает мощностей для хранения мазута.;1
 PepsiCo, один из крупнейших производителей напитков в России, прекратил рекламную деятельность и продажу напитков в стране. ;1
YouTube по требованию Роскомнадзора заблокировал видео с песней «Хотят ли русские войны».;1
Резолюция Европарламента означает немедленный запрет на газ, нефть, уголь и ядерное топливо из России - написал советник главы МВД Украины Антон Геращенко в своем ТГ-канале.;1
 В Россию прекращаются поставки детских лекарств от астмы. Врачи жалуются на нехватку вакцин. СМИ ссылаются на письма от зампреда правительства Татьяны Голиковой.;1
РЖД грозит банкротство, компания не смогла расплатиться по своим облигациям;1
Жителей Белгорода приглашают копать окопы за еду. Сообщения с приглашением принять участие в земляных работах стали приходить на телефоны и электронные почты белгородцев.;1
В Приднестровье готовят аэродромы для российских самолётов – сообщает  Генштаб ВСУ;1
Торговые сети в РФ сохраняют ограничения на продажу товаров в одни руки. В список дефицита попали 20 категорий продуктов, среди которых сахар, мука, гречка, подсолнечное масло и другие.;1
Российскую нефть никто не хочет покупать даже с большим дисконтом. Об этом пишут (https://apostrophe.ua/news/economy/2022-03-01/ne-hotyat-sponsirovat-agressora-rossiyskuyu-neft-s-trudom-pokupayut-daje-so-skidkoy/261003) украинские и некоторые западные СМИ.;1
Из 648 военных двухсотой мотострелковой бригады ВС РФ выжили только трое. Об этом сообщил советник офиса президента Украины Алексей Арестович. ;1
Российская армия на Украине совершает военные преступления, которые необходимо расследовать в ООН. Об этом Президент рассказал (https://youtu.be/nOlT6m6Uxhc) членам организации по видеосвязи.;1
Россия проигрывает информационную войну, поэтому солдатам массово запрещают пользоваться интернетом. Украинские СМИ и тг-каналы распространяют бумагу с приказом заместителя командующего по военно-политической работе.;1
МО РФ вручает награды «по блату» родственникам генералов. Аудиозапись с жалобой «простого солдата» начали распространять украинские СМИ.;1
Российские военные торгуют вещами мирных жителей. Украинские СМИ активно продвигают истории о продаже вещей, «конфискованных» в зоне боевых действий.;1
В Мариуполе начали работать российские мобильные крематории, в которых сжигают тела погибших мирных жителей. ;1
В Буче убили молодую украинку. Ее фотография и некролог разлетелись по сети. «Изнасилованы и убиты русскими только за то, что они украинцы» - значится в подписи. ;1
Грузия ведет контрабандную торговлю с Россией в обход санкций и планирует поставлять ей военную технику. Об этом заявила вице-президент Украины Ирина Верещук со ссылкой на украинскую разведку. ;1
В России ожидается дефицит гигиенических товаров - женских прокладок, подгузников, пеленок - из-за ухода иностранных брендов. ;1
Дефолт России неизбежен. Об этом заявила представитель Белого дома Джен Псаки после того, как США запретили России использовать замороженные долларовые резервы для выплат по внешнему долгу. ;1
В аэропорту «Внуково» используют запрещенную «химию» вместо антиобледенителей с связи с нехваткой импортных реагентов. Об этом пишут в телеграм-каналах. ;1
Российский солдат хвастается убийствами мирных жителей Бучи и собирается их повторить. Такие новости стали массово появляться в украинских СМИ и тг-каналах;1
Все россияне получат по 12 тысяч рублей в апреле 2022 года. Деньги придут на карту «Мир».;1
Французский производитель молочных продуктов Danone все же уйдет ) из России. О такой возможности сообщило  агентство Reuters со ссылкой на свой источник.;1
 В Наровлянском районе Белоруссии погибли пограничники, патрулировавшие пограничную зону в районе деревни Довляды. Телеграм-каналы сообщают что их автомобиль подорвался на российской мине;1
Компания «Ашан» все-таки приняла решение свернуть инвестиции и прекратить поставки в Россию. Такой пресс-релиз опубликован на портале украинского представительства компании.;1
В Луганской области в городе Рубежное российские подразделения взорвали цистерну с азотной кислотой. Такие сообщения распространяют украинские телеграм-каналы.;1
Украинская армия соблюдает Женевскую конвенцию при обращении с русскими военнопленными. ;1
Украинские СМИ показали фото мертвых детей из Бучи.;1
"Трупы на улице в Буче не были ""разложены"" специально.";1
Российские войска завязывают руки белыми лентами за спиной и расстреливают мирных жителей. Такие сообщения распространяются на фоне событий в Буче;1
Российские военные занимаются мародерством  - в этом их не единожды обвиняла украинская сторона;1
Российские военные изнасиловали и жестоко убили жительницу Украины. Об этом написала британская газета Daily Mirror. ;1
Российская армия привезла на Украину мобильные крематории, чтобы скрыть потери среди украинских мирных жителей. Такие однотипные сообщения появляются в украинских СМИ.;1
Украинские СМИ показали фото мертвых детей из Бучи.;1
Украинская армия соблюдает Женевскую конвенцию при обращении с русскими военнопленными. ;1
Участников российского движения «Юнармия» отправят воевать на Украину. Письмо на бланке с «приглашением» одного из активистов распространяется в мессенджерах Иркутской области.;1
Литва, Латвия, Эстония и Польша готовятся полностью закрыть границы с Россией и Белоруссией. Такое сообщение стало распространяться в украинских тг-каналах.;1
Советник президента Украины Алексей Арестович 4 апреля опубликовал фотографию изуродованной девушки якобы убитой российскими военнослужащими в Гостомеле.;1
В украинских телеграм-каналах появились фотографии российских солдат, которые устроили «геноцид в Буче».      ;1
Погибшие в Буче – дело рук российских военных, а доказательства обратного не имеют под собой оснований. ;1
Русская Wikipedia признала победу Украины в битве за Киев.;1
Западные СМИ не подвергаются цензуре и ведут объективную и беспристрастную оценку ситуации на Украине.;1
Российских призывников отправят воевать на Украину. Подобная информация появилась на тг-каналах украинских СМИ.;1
В Балашихе в знак протеста неизвестный поджег машины, принадлежащие сотрудникам ФСБ. Такие сообщения распространяют украинские телеграм-каналы.;1
Семьи погибших чеченцев получили вместо компенсации мешок картошки и литр растительного масла.;1
Российские военные покинули Бучу, предварительно оставив огромные жертвы среди мирного населения. ;1
Правительство Брянской области предупреждает о вероятных боевых действиях на территории региона. Об этом говорится в письме, которое распространяют украинские телеграм-каналы.;1
Хакерская группировка Anonymous взломала сервера Русской православной церкви и скачала оттуда секретные данные.;1
Российских призывников отправят на территорию Украины для участия в спецоперации;1
 Российские солдаты умирают от радиации, вернувшись из Чернобыля;1
ВКС РФ нанесли авиаудар по роддому в Мариуполе;1
Российские военные похитили учительницу математики и собираются ее обменять на военнопленных;1
Владимир Зеленский создает «Интернациональный легион обороны», куда уже вошли более 16 тысяч иностранных наемников и добровольцев. ;1
Российский военнослужащий звонит родным и рассказывает об отступлении из-за больших потерь.;1
 Российские военные на Украине массово насилуют женщин и подростков.;1
Российские войска регулярно обстреливают гражданские объекты и мирное население;1
Россия сама нанесла удар по нефтебазе в Белгороде.;1
Большинство стран поддержали антироссийские санкции, считая это нормальным способом оказания давления из-за спецоперации на Украине;1
В Нововоронцовке (Херсонская область) уничтожили военную технику ВС РФ;1
В Калининградской области прекратят подачу газа из-за недостатка газа в хранилищах. Письма с оповещениями на бланках АО «Калининградгазификации» получают жители области.;1
ападные санкции в отношении РФ не влияют на экономическую ситуацию в западных странах.  Такие сообщения появляются в СМИ.;1
Российские мины угрожают судоходству в Черном море. Об этом заявил президент Украины Владимир Зеленский, выступая перед парламентом Норвегии.;1
Потери Украины в военной технике и в сфере военной промышленности несоизмеримо меньше потерь российской стороны;1
На Украине полностью поддерживают свободу слова, журналистам и публичным личностям нечего опасаться. Об этом неоднократно говорил президент Владимир Зеленский.;1
Украинские военные не используют гражданские, религиозные или ;1
Украина не планировала вернуть Крым в свой состав военным путем. ;1
На Украине культовые сооружения и их сотрудники находятся под защитой государства, а все религиозные культы и конфессии обладают равными правами, граждане могут исповедовать их свободно – это отражено в законодательстве. ;1
Россия сейчас стягивает к украинской границе устаревшую военную технику. ;1
Украина не занимается производством постановочных видеороликов, все обвинения  — это пропаганда;1
Российские солдаты несколько дней насиловали мать шестилетнего ребенка рядом с самим малышом. Об этом пишет минобороны Украины в твиттере.;1
Военнослужащие России не могут получить обещанные денежные компенсации.;1
Владимир Зеленский, во время выступления перед парламентом Норвегии, обвинил ВС РФ в стрельбе по жилым домам, установке мин в Черном море, угрозе будущему Европы.;1
Уполномоченная Верховной Рады по правам человека Людмила Денисова заявила, что «пленные оккупанты удовлетворены отношением к ним в Украине».;1
«Россия создала опасность в Черном море, установив свои мины. Они могут дрейфовать и к границам Норвегии, к фьордам, что угрожает людям и окружающей среде»;1
 ВСУ сбили росийский истребитель. Фотографии лежащего на земле МиГа распространяют украинские телеграм-каналы.;1
Украина развивает свою систему образования на принципах демократии и невмешательства политических партий в образовательный процесс. Разносторонне и сбалансированно подает детям информацию о политических вопросах ;1
В районе Киева двое пьяных российских солдат изнасиловали женщину на глазах у ее ребенка. Генпрокуратура Украины возбудила дело. Об этом сообщают СМИ.;1
В Мариуполе подразделения 36-ой бригады морской пехоты ВСУ прорвались и соединились с полком «Азов». Рубеж обороны укреплен. Об этом написал советник президента Украины Алексей Арестович.;1
Россия начала стягивать военную технику, в том числе береговые ракетные комплексы «Бастион», к границе с Финляндией, сообщил британский таблоид Daily Mail. ;1
Российские военные нарушают Женевскую конвенцию в отношении пленных. Видео с рассказом «волонтера» распространяется в украинских телеграм-каналах.;1
Зеленский в обращении к народу и политикам Литвы обвинил российского солдата Бычкова из Пскова в изнасиловании детей на Украине. ;1
На Украине нет бандитов, бандеровцев, нацизма. Об этом в репортаже канала «ВДудь» рассказал житель Харькова, переехавший в Европу.;1
Российские войска намеренно бьют по жилым кварталам и спальным районам Харькова. Разрушены уже 2/3 города. Об этом заявил один из гостей канала «ВДудь», которому пришлось переехать в Европу.;1
Украинских детей насильно увозят в Россию. Об этом пишут украинские СМИ и заявляют официальные лица. ;1
Российские войска применили химическое оружие (вероятно, зарин) в Мариуполе, распылив неизвестное вещество с БПЛА. Об этом сообщается в телеграм-канале нацбата «Азов».;1
Российские военные применили в Николаеве термобарическую бомбу. Момент взрыва попал на видео и распространяется в украинских телеграм-каналах.;1
Российские войска применяли запрещенные фосфорные боеприпасы и будут применять их в Мариуполе, утверждают украинские паблики со ссылкой на британскую разведку. ;1
"В Россию насильно вывезли сотни тысяч жителей Украины. Об этом неоднократно заявляли официальные лица и украинские СМИ. 
";1
США убедили индийские власти отказаться от закупок российской нефти. Такие сообщения распространяются в СМИ.;1
В России создан патриотический проект ZаАрмию. Многим представителям бизнеса и общественникам разослали письмо с просьбой поддержать этот проект. Письмо подписано генеральным директором «Иннопрактики» Катериной Тихоновой, которую западные СМИ называют дочерью Владимира Путина. ;1
Якутский скульптор, делавший изваяния из навоза больше не может творить. Из-за санкций возник дефицит пластификатора, который он добавлял в материал для своих скульптур. Об этом написали сразу несколько украинских источников. ;1
Главному военному клиническому госпиталю имени Н. Н. Бурденко срочно требуется донорская кровь для раненых на Украине. Призывы к срочной сдаче крови стали появляться в социальных сетях.;1
"Украинских беженцев отправляют на Дальний Восток. В украинских телеграм-каналах распространяется листовка о дальневосточной программе, которую получают граждане Украины. 
";1
"Выборг и Карелия переходят под контроль Финляндии. Такое сообщение распространяется от имени МЧС России в телеграм-каналах.
";1
Зеленский в обращении к народу и политикам Литвы обвинил российского солдата Бычкова из Пскова в изнасиловании детей на Украине. ;1
На Украине нет бандитов, бандеровцев, нацизма. Об этом в репортаже канала «ВДудь» рассказал житель Харькова, переехавший в Европу.;1
Россия фактически объявила дефолт по своему внешнему долгу. Об этом сообщает CNN со ссылкой на рейтинговое агентство Standard & Poor’s.;1
Все больше стран отказываются от российского газа и нефти. Европа вполне сможет обойтись без этих ресурсов, экономическое эмбарго против РФ оправданно, пишут СМИ.;1
В России начался голод. Канал CNN выпустил сюжет о бедственном состоянии экономики страны.;1
Россия объявила дефолт. Об этом сообщает CNN со ссылкой на финансовое агентство Standard&Poor's. ;1
Бизнес Европы, поддерживая Украину, выступает против нацизма. ;1
Президент Украины отдал приказ о подготовке наступления на Белгородскую область. Видео с зачитыванием приказа появилось в украинских телеграм-каналах.;1
Обстрел поселка Климово в Брянской области — провокация со стороны РФ, украинские подразделения не имеют к этому отношения. Такие новости распространяются в украинских телеграм-каналах.;1
Российские военнослужащие занимаются мародерством и выставляют на продажу вещи, привезенные с Украины. Такие сообщения распространяются в украинских телеграм-каналах.;1
Ракетный крейсер «Москва» затонул после пожара, при этом погибли сотни человек.;1
Министр обороны России Сергей Шойгу в больнице с обширным инфарктом. Об этом написал в своем телеграм-канале проживающий в Израиле экс-совладелец ЮКОСа Леонид Невзлин. ;1
ВСУ сбили русский вертолет МИ-24. Информацию об этом в своем телеграм-канале опубликовал советник МВД Украины Антон Геращенко.;1
ВСУ устроили российским войскам засаду под Мариуполем. Видео боев опубликовано в телеграм-каналах.;1
Президент Республики Беларусь Александр Лукашенко заявил, что два дня контролировал Киев. Эту новость с иронией пересказал в своем телеграм-канале советник МВД Украины Антон Геращенко. ;1
«Жена Зеленского воюет под Харьковом», «Кличко и Усик стоят на блокпостах» —  поток фейков льётся на нас каждый день как из ведра.;1
В Мариуполе подразделения 36-ой бригады морской пехоты ВСУ соединились с нацбатом «Азов», укрепив оборону города от российских войск. Об этом в видеообращении заявляют  командир полка «Азов» Денис Прокопенко и командир 36-й бригады морской пехоты Сергей Волына.;1
Продукция британской компании Reckitt Benckiser — Durex, Contex, «Нурофена», «Стрепсилса», Clearasil, Vanish, Veet — исчезнет  с российского рынка.;1
ВСУ не наносят вреда объектам религиозного поклонения и не притесняют верующих. Этот тезис продвигают СМИ и официальные лица Украины.;1
Российским солдатам, отказавшимся участвовать в спецоперации, в документы проставляют штамп о предательстве. Информация стала появляться в украинских телеграм-каналах.;1
Европейские медиа единогласно поддерживают Зеленского, и поэтому принимают сторону Украины при освещении спецоперации. ;1
информационное агентство ТАСС со ссылкой на генерального директора «Ростеха» Сергея Чемезова сообщило, что компания ведёт переговоры с Mercedes-Benz о приобретении доли в «КамАЗе».;1
В Правительстве идет работа над законопроектами, которые ужесточают ответственность граждан за использование VPN-сервисов.;1
Директор UFC Russia (смешанные единоборства) Андрей Громовский переехал с семьей в ОАЭ в начале марта из-за политической обстановки в мире.;1
Турецкое агентство Anadolu опубликовало кадры пожара на крейсере «Москва».;1
"Арестович заявил, что крейсер ""Москва"" утонул.";1
Очередной российский МИ-24 был сбит благодаря ПВО 68-й отдельной егерской бригады. Об этом пишет советник МВД Украины Антон Геращенко.;1
Россиянам запретили пользоваться шрифтами Times New Roman, Verdana, Tahoma и Helvetica.;1
В России исчезнет продукция британской компании Reckitt Benckiser, в частности, ожидается дефицит Durex, Contex, «Ибупрофена» и «Стрепсилса».;1
"Сербский профессиональный футбольный клуб пригласили участвовать в ""Кубок Матч Премьер"", такая информация появилась в ряде интернет-сообществ.";1
Прием антидепрессантов во время беременности на 87% увеличивает риск аутизма у детей.;1
Популярное юмористическое шоу Comment Out на YouTube закрылось.;1
12 апреля Илья Авербух объявил о приостановке шоу «Ледниковый период». Он заявил, что запуск нового сезона на осень пока не планируется.;1
Российские военные получили смертельную дозу радиации, скрываясь в Рыжем лесу у ЧАЭС, устраивая «пикники» на радиоактивно зараженной территории и варя кашу из кофейных зерен;1
У певицы Клавы Коки роман с Моргенштерном, считают их поклонники в соцсетях.;1
 В Узбекистане планировали запретить выкладывать фото и видео с сотрудниками ДПС в интернете.;1
Кандидат в президенты Франции Мари Ле Пен пообещала, что в случае своего избрания выведет страну из состава участников НАТО. Второй тур выборов пройдет в республике 24 апреля.;1
«Если меня изберут президентом, я выйду из объединенного командования НАТО, но не откажусь от статьи 5 о взаимной защите», — заявила Мари Ле Пен.;1
В Белгородской области введен «красный» уровень опасности.;1
Мирная Украина не готовилась к военным действиям, не имела никаких планов на этот счет и никоим образом не разжигала межнациональную рознь.;1
официальный аккаунт Госавтоинспекции в одной из социальных сетей якобы используется для распространения недостоверной информации о проведении специальной военной операции.;1
Вывезенных в Россию украинских детей, которые не владеют русским языком, решили «научить русскому», создав спецлагеря.;1
У России есть в распоряжении химическое оружие, и оно может быть применено на Украине, такие слухи стали появляться в западных СМИ.;1
Меладзе якобы ликвидировал группу «Виагра», написали агентства со ссылкой на документы ООО «Группа «ВИА гра».;1
В социальных сетях и мессенджерах несколько дней подряд публикуется информация о том, что Выборг и Карелия перешли под контроль Финляндии. Рассылка якобы идет от МЧС РФ.;1
Клиенты брокера «ГПБ Инвестиции» (входит в группу Газпромбанка) получили письма с сообщением о том, что по активам США, которые хранятся в его депозитарии, будет применяться двойное налогообложение.;1
Сотни морпехов в Мариуполе на самом деле не сдались в плен, а вырвались из окружения и соединились с «Азовом».;1
Украинские источники демонстрируют «жуткое кладбище автомобилей в Буче» в доказательство обстрела колонны беженцев российскими войсками.;1
Издание Sankei Shimbun сообщило о том, что Австралия, США и Великобритания неофициально пригласили Токио стать членом оборонного альянса AUKUS.;1
Мэр Мариуполя Бойченко заявил, что ВС РФ использовали в городе некое химическое вещество, сбросив его с беспилотника. Ветер донёс неизвестный токсин до поселков Сартана и Талаковка, где люди также почувствовали отравление.;1
 Режиссёр Дэвид Линч представит на Каннском кинофестивале в мае свой новый фильм.;1
В сети и СМИ не прекращаются разговоры о включении Беларуси в состав России, которые всегда приобретают новое развитие после всрреч Путина и Лукашенко.;1
 Ирина Верещук сообщила, что 13 апреля гуманитарных коридоров не будет, поскольку российские войска нарушают режим прекращения огня в Луганской области.;1
Российские вертолеты обстреляли села Харьковской области;1
ВСУ ракетой уничтожили российскую технику в районе Мариуполя;1
Российские военные занимаются мародерством на территории Украины не гнушаясь забирать даже собачьи будки.;1
Российские военнослужащие совершают преступления, стреляя по мирным жителям;1
В росте инфляции в США виноваты Россия и Путин, заявил американский президент Джо Байден;1
Россия сама обстреляла с. Климово в Брянской области, об этом сообщает СБУ Украины со ссылкой на «перехват телефонного разговора российского военнослужащего;1
Россия останется без авиации: иностранные лизингодатели потребовали от авиакомпаний из России вернуть арендованные самолеты.;1
В Запорожье и городе Энергодаре начали работу отделения Сбербанка;1
Джо Байден заявил, что готов лично отправиться в Киев. ;1
Воронежцам начали массово рассылать СМС о подготовке к эвакуации. В тексте фейков жителей от лица спасателей просят сделать 2-недельный запас еды и воды, быть готовым к эвакуации, а при выходе из дома иметь при себе документы;1
Яхта Алишера Усманова «Дильбар» стоит 1 млрд. долларов, пишут в соцсетях проукраински настроенные пользователи, указывая, что ракетный крейсер «Москва» стоил 750 млн долларов и предлагая «продав только одну яхту товарища Алишера, можно приобрести новенький 1 крейсер «Москва» и ещё останется денег чтобы обмыть покупку».;1
Петербуржцам стали приходить СМС о том, что в подвалах домов города стали находить мешки с гексогеном. В сообщениях говорилось, что взрывчатка была найдена якобы в 11 жилых домах в Петербурге;1
В соцсетях и интернет-СМИ появилась информация о том, что командующий черноморским флотом РФ адмирал Игорь Осипов арестован;1
Премьер-министр Армении Никола Пашинян, выступая в четверг в парламенте, отметил, что еще в 1997 году предусматривалось разделить вопрос карабахского урегулирования на части: сначала карабахский вопрос, потом мирный договор.;1
Китай и Россия прекратили сотрудничество в научной сфере. Глава РАН Александр Сергеев в ходе международной научно-практической конференции «Цифровые международные отношения-2022» сообщил, что большинство академий наук на Западе в нынешних условиях вынуждены были заморозить контакты с российскими партнерами.;1
В течение последних месяцев украинские СМИ периодически публикуют информацию о том, что больницы в белорусском Гомеле переполнены – туда доставляют многочисленных раненых из числа российских военнослужащих.;1
з-за политической ситуации популярный певец Сергей Лазарев покидает Россию.;1
 СМИ сообщили о задержании главы псковского отделения «Яблока» Льва Шлосберга и активиста Николая Глушкова сотрудниками центра «Э».;1
"Исполнитель Даня Милохин имеет отношения к письмам о ""минировании"", которые поступили в восемь судов Санкт-Петербурга. Такая информация накануне распространялась в соцсетях. В объединенной пресс-службе судов Санкт-Петербурга заявили, что в восемь учреждений северной столицы поступили письма о ""минировании"" от имени ""тиктокера Дани Милохина"".";1
Олимпийский чемпион по современному пятиборью Александр Лесун, уроженец Белоруссии, завершает свои выступления за сборную России из-за ситуации на Украине. Его слова были опубликованы в материале BBC;1
Почти весь экипаж крейсера «Москва» погиб в результате пожара.;1
 На фоне отъезда многих «селебрити» из России за границу появились слухи, что эмигрировала и Настя Ивлеева, блогер, телеведущая, известная прежде всего по передаче «Орел и решка».;1
 Спикер Совета Федерации Валентина Матвиенко заявила о том, что в России не производят гвозди.;1
Российские мародеры украли собачью будку у мирных жителей Украины, сообщают украинские источники.;1
информационное агентство ТАСС со ссылкой на генерального директора «Ростеха» Сергея Чемезова сообщило, что компания ведёт переговоры с Mercedes-Benz о приобретении доли в «КамАЗе».;1
: В Правительстве идет работа над законопроектами, которые ужесточают ответственность граждан за использование VPN-сервисов.;1
Директор UFC Russia (смешанные единоборства) Андрей Громовский переехал с семьей в ОАЭ в начале марта из-за политической обстановки в мире.;1
Турецкое агентство Anadolu опубликовало кадры пожара на крейсере «Москва».;1
"Арестович заявил, что крейсер ""Москва"" утонул.";1
Очередной российский МИ-24 был сбит благодаря ПВО 68-й отдельной егерской бригады. Об этом пишет советник МВД Украины Антон Геращенко.;1
