messages;labels
" Наш Telegram-канал уже писал об этом фейке украинской пропаганды  — скорее всего, провокация была подготовлена батальоном «Азов», так, допрос пленного националиста показал, что в подвале здания театра расположен штаб боевиков. При этом мирных жителей фактически взяли в заложники, чтобы в ходе провокации устроить взрыв и обвинить российскую армию.

Кроме того, Минобороны РФ информировало, что авиация днем 16 марта не выполняла никаких задач, связанных с нанесением ударов по наземным целям в городской черте Мариуполя.
При этом мирные жители, которым удалось вырваться из города по гуманитарным коридорам, утверждают, что «Азов» удерживал их в качестве живого щита и что именно его бойцы взорвали театр в ходе отступления.";0
" Как обычно внимание акцентируется на одном моменте видеоролика, а не на других нюансах. 
Во-первых, сразу после слов «Батько наш» слышен многочисленный здоровый и веселый детский смех, уже одним своим наличием характеризующий настоящее отношение детей к «батьке». 

Ну и во-вторых, далее российский военный объясняет, что именно этот «батька» участвовал в сожжении Хатыни. 
Самого Бандеры, там не было. Однако 118-й специальный полицейский батальон, который принимал в этом участие, был сформирован из украинских полицаев. Он был сформирован в 1942 году в Киеве преимущественно из украинских националистов, жителей западных областей. В Киеве батальон ""прославился"" тем, что с особой жестокостью уничтожал евреев в Бабьем Яру. Кровавая работа стала лучшей характеристикой для отправки карателей в декабре 1942 года в Белоруссию.";0
" Украинец со сверхспособностью к регенерации тканей. В сюжете сообщается, что огнестрельное поражение мягких тканей лица произошло в середине марта. Пуля прошла навылет, пациенту, возможно, медики не вскрывали раневой канал.

Фаза эпителизации и реорганизации рубца в зависимости от морфологии тканей может продолжаться до года. Эпителизация начинается с краев раны одновременно с образованием грануляционной ткани. Сразу после формирования рубца начинается его перестройка, что проявляется образованием эластических волокон и развитием новой фиброзной сети. Возможно, такими незаметными, как на видео, шрамы от пуль могут стать за несколько лет. У товарища Куличенко незаметно даже покраснения рубца: он светлый и почти не виден. Хотя ранение и было, судя по повреждениям, выстрел явно случился не в марте 2022-ого.";0
" Заявления СМИ о прекращении поставок газа «Газпромом» в Финляндию — газетная утка. Об этом заявил 13 мая официальный представитель Кремля Дмитрий Песков.

«Газпром» поставляет разным потребителей в Европе природный газ, в том числе и в страны члены НАТО. «Газпром» неоднократно демонстрировал свою надежность, поэтому скорее всего, эти сообщения — очередная газетная утка», — пояснил он.

Однако Песков уточнил, что информацию о режиме оплаты нужно уточнять в «Газпроме», потому как в соответствии с указом президента России Владимира Путина о поставках газа, могли произойти изменения.";0
" Москва не располагает информацией об этом, заявил спецпредставитель президента РФ по Афганистану, директор Второго департамента Азии МИД Замир Кабулов. «Такие планы мне неизвестны»,  — сказал он.

Редакция Telegram-канала хочет напомнить, что представители «Талибана» и без этого несостоявшегося визита «балут» нас своим вниманием. Последняя встреча была в июле 2021 года, приезжали они в январе 2021 года, в мае 2019-го и раньше.";0
" В качестве доказательства журналисты приводят ряд товаров, на которые действительно есть рост цен, и цифры, даже правильные. Но во всем остальном - это манипуляция цифрами Росстата и из этого появилась ложная цифра в 17%. 

Российское Правительство вместе с Росстатом собирает данные по росту и снижению цен по всем направлениям, а не только по представленным Nexta данным и уже заявило, что инфляция замедлилась и сейчас составляет 6,4%. Об этом уже сообщил Владимир Путин предоставив офицальные данные.";0
" Находящийся в эмиграции и заочно арестованный российским судом Невзоров (объявлен иноагентом) заявил, что не имеет адвоката и что сведения о поданной на арест апелляции от его имени являются ложью. ""Никаких милостей  и снисхождений мне от режима не надо, я их никогда не приму. Я не знаю, кто тот самозванец, подавший ходатайство об отмене ареста, но меня он не представляет и не имеет ко мне ни малейшего отношения"", — сообщил он.

А ведь были времена — в 2012 году он Путина называл единственным кто спасёт империю и был поручителем на выборах. 
Наверное, тогда деньги были очень нужны, да, Глебыч?";0
" Это видео стоит повторения. Украинский ""военный эксперт"" не знает как вместо трупов реальных солдат переодевают маникенов и мумии других людей. 

В 2018 году был показан Т-90М, предназначенный для армии РФ. В 2019 году была отправлена первая партия из 10 машин для опытно-эксплуатационных испытаний. В апреле 2020 года армия получила ещё 33 танка, из которых 22 были модернизированным Т-90А. Недавно, армия получила ещё одну партию предположительно из 30-33 танков.

Итого, армия России имеет на вооружении 60-70 Т-90М, поставленных в войска за не полный год и порядка 80 танков с учётом опытной партии. Для понимания, Украина за свою независимость построила до роты Т-84У и около 68 танков Т-64БМ «Булат». 
По официальным данным на 2014 год в ВС России официально на вооружении было 300 Т-90С и на хранении — 200 Т-90С.";0
" Врач-невролог, мануальный терапевт Дмитрий Шубин считает, что это не так. 
— Несколько лет назад считалось, что сало имеет два порока. Во-первых, это высокий уровень холестерина, который якобы негативно влияет на сосуды и приводит к формированию атеросклеротических бляшек. Во-вторых, это высокая калорийность. Но потом были проведены исследования и анализ жиров, содержащихся в продукте, привел к  тому, что врачи не только не стали игнорировать или порицать этот продукт, а начали рекомендовать его, – обратил внимание Дмитрий Шубин.

Таким образом, холестерин в сале, который ранее порицали, теперь, наоборот, начали рекомендовать к употреблению.

– В ста граммах сала содержится примерно 50 процентов суточной нормы холестерина. Без холестерина жить нельзя: он создает мембраны всех клеток в организме, удерживая жиры в пластичном состоянии, – пояснил врач.";0
" Сегодня мы уже писали, как идут перемоги ВСУ – стрельба по деревьям и старым тракторам с «ювелирной точностью». Видимо, это заявление из той же области. На карте представлены те населенные пункты, которые взяты под контроль ВС РФ. Во многих сформирована военно-гражданская администрация с помощью российских военных. 

И это учитывая постоянные денежные вливания и военную помощь от Запада: пожалуй, это и есть главная победа Украины. Ежедневно ВС РФ уничтожает сотни районов сосредоточения живой силы и объектов украинской военной инфраструктуры. Задачи спецоперации выполняются, но каждую перегруппировку войск украинская пропаганда выдает за «отступление».";0
" Организатор выступлений Табриз Шахиди сообщил, что «любые комментарии в текущем моменте будут излишними. Артистка отменила все свои ближайшие выступления на территории РФ. Это очередной вброс провокаторов, неучей и дезинформаторов». 

Также он опроверг информацию о том, что у Светланы закончили деньги, поэтому она готова вернуться на российскую сцену.";0
" Джек Дорси заявил, что он не планирует возвращаться в Twitter в качестве CEO после того, как Илон Маск купит компанию. «Нет, я больше никогда не буду генеральным директором», — написал Дорси в Twitter.
Джек Дорси добавил, что «никто в конечном итоге» не должен быть CEO Twitter.";0
" Украинская пропаганда ссылается на крымские Telegram-каналы, однако анализ показал, что ни на одном таком ресурсе этой информации нет. Поэтому вполне возможно, что эта информация фейковая, так как распространяется только в украинском сегменте социальных сетей, СМИ и Telegram-каналов. 

К тому же фотографии и видео не дают возможности на сто процентов быть уверенным в том, что это не постановочная съемка ввиду отсутствия на кадрах окружающей обстановки и ссылок на профили авторов публикаций.";0
" Раньше «новость» авторы хотя бы подкрепляли якобы массовой продажей квартир в Крыму. Советник главы Крыма по информационной политике Олег Крючков уже опровергал это: в Крыму все еще растет спрос на недвижимость. «Крым не успевает строить жилье. Квартиры покупают на стадии котлована», - отмечал Крючков. Срочно продаются в Крыму около 1,2 тыс. объектов, из них примерно 200 — квартиры. Упоминание о возможном торге, вечном спутнике панических продаж, есть только в 2% объявлений.

Вброс о «безумных ростовских казаках», которых якобы отправили для борьбы с говорящими по-украински крымчанами, еще более нелеп. Казачьи дружины в РФ имеют довольно ограниченные полномочия – в основном это патрулирование общественных мест, иногда помощь в ликвидации ЧС. Задерживать на территории РФ украиноязычных никто не собирается.";0
" На одном видео в цель попал только один удар из десятка. Остальные поразили не вражеское, но, может, тоже представляющее опасность поле.

92-ая бригада ВСУ тоже хвастается обилием побед: на первых секундах видео был уничтожен древний русский трактор и рядом неизвестную технику с наспех нарисованной литерой Z. Далее в ролике по большей части уничтожают деревья, кусты, самосвалы. Ювелирная работа.";0
" Глава Калининградской области Антон Алиханов отметил, что не собирается покидать занимаемую должность и заявил, что не собирается переезжать в Москву.  

«Я продолжаю работать на своём месте, готовлюсь к выборам в сентябре. Кабинет у меня здесь, в Калининграде, на улице Дмитрия Донского», — сказал Алиханов. 

Редакция в свою очередь отмечает, что губернатор прямо не сказал, что не собирается покидать должность, а лишь констатировал, что продолжает работать и готовиться к выборам. 
Подождем-посмотрим.";0
 Строго говоря, «целый город» это 630 тысяч человек, которые составляли население Хельсинки в 1960-е годы, а именно тогда было построено это убежище. Сегодня оно как убежище не воспринимается вообще, его постройки помогают людям перемещаться из одной части Хельсинки в другую, а подземные достопримечательности привлекают огромное количество туристов.;0
" Жены «азовцев» в последнее время развили очень бурную деятельность – девушки встретились с Папой Римским, записали не одно видеообращение к общественности с просьбами помочь в эвакуации бойцов нацбатальона из подземелий «Азовстали». Ранее киевский режим продвигал идею, что «азовцы» чуть ли не мечтают героически умереть за Родину, а теперь, когда умирание затягивается, властям это становится не слишком выгодно.

Арестович, рассуждая про жертвы, цинично постит фото своего отдыха на курорте и приводит в пример кровожадным нацистам и их семьям, обычных ВСУшников и терроборонцев, чьи «родственники почему-то ничего не пишут».";0
" Выхлоп от добычи полупроводников из посудомоек на поле боя будет, мягко говоря, небольшим. Тем более, что в России есть свои мощности для производства чипов, которые уже налаживают концепцию борьбы с санкционным давлением. Российский завод «Микрон» по производству полупроводников, называющий себя «чипмейкером №1 в России», собирается в ближайшие годы удвоить объемы выпускаемой продукции.

«Микрон» действительно намерен оснащать новые линии оборудованием, приобретенным на вторичном рынке: установками травления, фотолитографии. Но в 2020-ых вторичное оборудование для микросхем скупают компании по всего мира.
С 2020 года идет реализация масштабного плана по развитию отечественной электронной промышленности. Выпуском микроэлектроники занимаются АО «Завод полупроводниковых приборов», «Светлана», АО «Прохладненский завод полупроводниковых приборов», «Ангстрем».";0
" На самом деле Россия вполне способна обеспечить себя продовольствием и голод нашей стране точно не грозит. Экономист Егор Клопенко в интервью одному из информагентств напомнил, что Россия является лидером по производству зерна. Кроме того, страна самостоятельно обеспечивает себя всеми стратегически важными продуктами. Среди них яйца, картофель, овощи, сахар, растительное масло и рыба. Также увеличивается экспорт молочной продукции и мяса за границу.

«Россия обеспечивает сама себя практически всем необходимым набором продовольствия. И даже если весь мир перестанет поставлять продовольствие в Россию по причине его нехватки, то россиянам голодать не придется, хотя, конечно, придется серьезно изменить ежедневное меню, — заключил экономист.";0
" Белгородские власти опровергли информацию о вторжении войск в села Середа и Муром. Официальное сообщение опубликовала пресс-служба мэрии Белгорода.
«В телеграм-каналах со ссылкой на «Лентач» пишут, будто ВСУ заняли село Середа Белгородской области, боевики находятся на территории Середнянской начальной школы № 2, количество погибших уточняется. На самом деле село Середа находится практически на границе с Украиной, но ни о каком вторжении украинских военных и речи не идёт. Это подтвердил глава Шебекинского городского округа Владимир Жданов, который ежедневно объезжает приграничные территории и общается с местными жителями. К тому же в Середе есть начальная школа-детский сад, но всего одна, соответственно, о школе № 2 не может идти и речи. Такого поста в «Лентаче» не выходило, пост является подделкой», — пояснили в мэрии.";0
" На кого рассчитан этот фейк, непонятно, так как даже при поверхностном просмотре ролика видно, что, во-первых, по гаубице так и не попали. Во-вторых, военнослужащие успели забежать в укрытие. 

Украинская пропаганда продолжает жить и писать в точном соответствии с анекдотом: 
— Скажите, а правда, что Кац выиграл в лотерею миллион? 
— Правда. Но не Кац, а Рабинович. Не в лотерею, а в карты. Не миллион, а сто рублей. И не выиграл, а проиграл.";0
" Эту информацию опровергли в Минэнерго. 
«При скорости ветра более 20 м в секунду электросеть 0,4 кВ и 6-10 кВ не может работать штатно, то есть, без повреждения проводов, опор и изоляторов. Но эти случаи не являются основной причиной возникновения очагов пожаров. Безопасность ЛЭП обеспечивается устройствами релейной защиты и автоматики. 

Любое короткое замыкание на линии автоматически выявляется и ликвидируется в срок не более одной секунды посредством отключения линии. Этот механизм обеспечивает и пожарную безопасность энергообъектов», — пояснили в ведомстве.";0
" Министерство обороны России опубликовало документы, подтверждающие деятельность биолабораторий на Украине. Представитель ВС РФ Игорь Кириллов во время брифинга продемонстрировал документы, подтверждающие реализацию военно-биологических проектов Германии и Польши.

Начальник войск РХБЗ представил подтверждения финансирования Польшей Львовского медицинского университета, в состав которого входит участник военно-биологических проектов США - институт эпидемиологии и гигиены.
Кириллов показал подтверждение факта распространения в ЛНР фальшивых денег, зараженных штаммом туберкулеза, а также результаты исследований с описанием проведенных анализов. Помимо прочего, предварительный анализ сохранившейся документации свидетельствует об использовании Мариуполя в качестве регионального центра для сбора и паспортизации возбудителя холеры.";0
" Федоров сообщил, что не рассматривает предложения о работе от других клубов.

— У меня еще два года контракта с ЦСКА. Другие предложения я не рассматриваю. И никаких контактов с «Детройтом» у меня не было.";0
" Пресс-секретарь российского лидера Дмитрий Песков заявил, что общественно-политическая ситуация в России стабильная, и в Кремле не видят попыток осуществить госпереворот в стране. 
«Я не знаю, на чем основываются такие выводы Глазьева», - заявил представитель Кремля, комментируя высказывание бывшего помощника российского президента.";0
" Бензиновый коллапс связан как с прекращением поставок топлива из России и Белоруссии, так и с тем, что в ходе спецоперации большинство НПЗ и нефтехранилищ Украины оказались повреждены. Эксперт Сергей Куюн отмечал, что проблема и в неадекватном поведении некоторых украинцев: «по словам владельцев АЗС, многие машины даже не могут влить в бак те жалкие 10 л, которые отпускают в ""одни руки"". Влезает только 4-5 л, потому что бак полон». Добавило давления на работающие АЗС закрытие отдельных станций.
Telegram-каналы пишут, что появились аферисты, предлагающие поучаствовать в программе топливных субсидий от государства – от человека получают таким образом предоплату и персональные данные. Распространяются слухи, что по распоряжению «Нафтогаза» топливо будет распространяться между сетями АЗС, принадлежащими «Привату» Игоря Коломойского";0
" А почему не в детский сад, к примеру? Или не бабушке с мамой? Текст письма, конечно, далек от официального, допущены некоторые ошибки, но это с кем не бывает. Есть и ошибки фактические: авторы письма, например, не потрудились узнать ни номер школы, ни фамилию директора, хотя в адресном документе обычно указывают такие малозначимые детали. 

Индекс войсковой части указан неверно – сейчас он 692500, а не 692523. По всей видимости, создатели документа использовали старый индекс, который можно найти в интернете: таковым он был до реорганизации войсковой части. Подполковник Юрий Голубович действительно временно исполнял обязанности командира части в 2021 году: скорее всего, эта информация попалась создателям в интернете. 
Ну и главный вопрос: зачем эта информация директору школы? Повесить на доску позора?";0
